,Temp,Enthalpy,Step,Time
108,570.4056,-4.83439453125,5200000.0,5.2
109,581.4694,-4.83164306640625,5250000.0,5.25
110,575.9641,-4.830615234375,5300000.0,5.3
111,588.141,-4.828924560546875,5350000.0,5.35
112,592.7153,-4.82806396484375,5400000.0,5.4
113,588.6375,-4.827349853515625,5450000.0,5.45
114,598.3512,-4.8279443359375,5500000.0,5.5
115,609.2345,-4.823504638671875,5550000.0,5.55
116,604.5472,-4.8234716796875,5600000.0,5.6
117,613.5272,-4.8219580078125,5650000.0,5.65
118,619.3181,-4.820614013671875,5700000.0,5.7
119,633.4546,-4.81816650390625,5750000.0,5.75
120,633.4546,-4.81816650390625,5750000.0,5.75
121,629.2595,-4.819051513671875,5800000.0,5.8
122,631.9625,-4.817452392578125,5850000.0,5.85
123,645.5992,-4.812911376953125,5900000.0,5.9
124,628.0037,-4.815631103515625,5950000.0,5.95
125,649.7345,-4.811776123046875,6000000.0,6.0
126,657.7265,-4.8107861328125,6050000.0,6.05
127,644.701,-4.811695556640625,6100000.0,6.1
128,663.689,-4.80925048828125,6150000.0,6.15
129,664.9435,-4.80634521484375,6200000.0,6.2
130,683.6817,-4.80245361328125,6250000.0,6.25
131,688.6303,-4.8031201171875,6300000.0,6.3
132,700.5566,-4.799324951171875,6350000.0,6.35
133,690.0487,-4.801702880859375,6400000.0,6.4
134,678.0718,-4.8026416015625,6450000.0,6.45
135,698.0177,-4.798580322265625,6500000.0,6.5
136,703.4656,-4.798621826171875,6550000.0,6.55
137,707.8461,-4.79901123046875,6600000.0,6.6
138,699.9387,-4.79671142578125,6650000.0,6.65
139,714.0514,-4.7941357421875,6700000.0,6.7
140,726.5873,-4.790997314453125,6750000.0,6.75
141,722.895,-4.791214599609375,6800000.0,6.8
142,737.9366,-4.788446044921875,6850000.0,6.85
143,732.9016,-4.78674560546875,6900000.0,6.9
144,732.9016,-4.78674560546875,6900000.0,6.9
145,750.7332,-4.784312744140625,6950000.0,6.95
146,745.7147,-4.78397216796875,7000000.0,7.0
147,762.7161,-4.781888427734375,7050000.0,7.05
148,759.4238,-4.781002197265625,7100000.0,7.1
149,760.1261,-4.78182861328125,7150000.0,7.15
150,767.9323,-4.77950439453125,7200000.0,7.2
151,777.2659,-4.77675048828125,7250000.0,7.25
152,779.863,-4.77505615234375,7300000.0,7.3
153,784.4551,-4.77373779296875,7350000.0,7.35
154,800.7279,-4.770498046875,7400000.0,7.4
155,791.0821,-4.770455322265625,7450000.0,7.45
156,787.6668,-4.7712646484375,7500000.0,7.5
157,797.2912,-4.768895263671875,7550000.0,7.55
158,830.736,-4.763150634765625,7600000.0,7.6
159,821.1883,-4.7626904296875,7650000.0,7.65
160,812.0495,-4.764217529296875,7700000.0,7.7
161,812.8826,-4.76375,7750000.0,7.75
162,826.9652,-4.759002685546875,7800000.0,7.8
163,836.2473,-4.755465087890625,7850000.0,7.85
164,853.8923,-4.752047119140625,7900000.0,7.9
165,849.0635,-4.752608642578125,7950000.0,7.95
166,850.7896,-4.75359130859375,8000000.0,8.0
167,874.7555,-4.74662109375,8050000.0,8.05
168,874.7555,-4.74662109375,8050000.0,8.05
169,867.3969,-4.746700439453125,8100000.0,8.1
170,855.2248,-4.7482861328125,8150000.0,8.15
171,861.4487,-4.746641845703125,8200000.0,8.2
172,884.9883,-4.74003173828125,8250000.0,8.25
173,886.0693,-4.73564208984375,8300000.0,8.3
174,887.204,-4.733695068359375,8350000.0,8.35
175,896.8898,-4.73262451171875,8400000.0,8.4
176,889.2258,-4.73280517578125,8450000.0,8.45
177,912.675,-4.727291259765625,8500000.0,8.5
178,908.7303,-4.727083740234375,8550000.0,8.55
179,930.3945,-4.726866455078125,8600000.0,8.6
180,917.509,-4.724041748046875,8650000.0,8.65
181,920.779,-4.724012451171875,8700000.0,8.7
182,934.8142,-4.7190283203125,8750000.0,8.75
183,929.1708,-4.71824462890625,8800000.0,8.8
184,916.1987,-4.719744873046875,8850000.0,8.85
185,953.2421,-4.7122900390625,8900000.0,8.9
186,957.7529,-4.711478271484375,8950000.0,8.95
187,958.4702,-4.710040283203125,9000000.0,9.0
188,959.2026,-4.708905029296875,9050000.0,9.05
189,955.9408,-4.7066748046875,9100000.0,9.1
190,977.0059,-4.70359130859375,9150000.0,9.15
191,973.129,-4.7054638671875,9200000.0,9.2
192,973.129,-4.7054638671875,9200000.0,9.2
193,957.378,-4.702418212890625,9250000.0,9.25
194,972.7641,-4.699222412109375,9300000.0,9.3
195,984.4243,-4.69967041015625,9350000.0,9.35
196,1005.196,-4.69446533203125,9400000.0,9.4
197,999.9109,-4.693922119140625,9450000.0,9.45
198,1000.336,-4.690579833984375,9500000.0,9.5
199,996.6758,-4.692039794921875,9550000.0,9.55
200,1004.47,-4.6898388671875,9600000.0,9.6
201,1011.672,-4.688363037109375,9650000.0,9.65
202,1017.262,-4.683590087890625,9700000.0,9.7
203,1022.963,-4.68494140625,9750000.0,9.75
204,1033.99,-4.681907958984375,9800000.0,9.8
205,1028.976,-4.680458984375,9850000.0,9.85
206,1049.859,-4.674228515625,9900000.0,9.9
207,1031.409,-4.676005859375,9950000.0,9.95
208,1042.918,-4.67684326171875,10000000.0,10.0
209,1044.395,-4.6725537109375,10050000.0,10.05
210,1072.737,-4.669891357421875,10100000.0,10.1
211,1065.791,-4.667130126953125,10150000.0,10.15
212,1064.974,-4.665537109375,10200000.0,10.2
213,1065.923,-4.665460205078125,10250000.0,10.25
