,Temp,Enthalpy,Step
256,157.4834,-670204.1,1260000.0
257,157.8421,-670193.8,1265000.0
258,158.7688,-670155.7,1270000.0
259,159.6219,-670131.7,1275000.0
260,160.5435,-670109.7,1280000.0
261,160.6305,-670100.0,1285000.0
262,161.4206,-670068.3,1290000.0
263,162.0639,-670037.9,1295000.0
264,162.286,-670035.2,1300000.0
265,163.2673,-670008.5,1305000.0
266,163.7468,-669992.8,1310000.0
267,164.2546,-669971.2,1315000.0
268,165.0073,-669940.3,1320000.0
269,165.6593,-669926.7,1325000.0
270,166.1087,-669895.4,1330000.0
271,166.9716,-669874.0,1335000.0
272,167.5154,-669855.6,1340000.0
273,168.0355,-669834.1,1345000.0
274,168.7652,-669814.5,1350000.0
275,169.9408,-669787.5,1355000.0
276,170.4104,-669760.1,1360000.0
277,170.4059,-669746.9,1365000.0
278,170.8834,-669734.4,1370000.0
279,171.8717,-669705.5,1375000.0
280,172.0421,-669701.4,1380000.0
281,172.7502,-669659.2,1385000.0
282,173.4049,-669649.1,1390000.0
283,174.4382,-669627.6,1395000.0
284,175.4287,-669591.1,1400000.0
285,176.1777,-669564.7,1405000.0
286,175.8731,-669562.1,1410000.0
287,177.069,-669531.6,1415000.0
288,177.2998,-669508.5,1420000.0
289,177.9875,-669491.7,1425000.0
290,178.9334,-669446.7,1430000.0
291,179.7154,-669435.7,1435000.0
292,179.5984,-669429.1,1440000.0
293,181.013,-669386.9,1445000.0
294,181.6542,-669372.7,1450000.0
295,180.9895,-669367.6,1455000.0
296,182.2977,-669337.2,1460000.0
297,183.0917,-669311.4,1465000.0
298,183.6743,-669298.1,1470000.0
299,184.0422,-669262.1,1475000.0
300,185.198,-669248.1,1480000.0
301,184.7274,-669230.7,1485000.0
302,186.6445,-669188.2,1490000.0
303,186.2649,-669179.4,1495000.0
304,188.1856,-669145.2,1500000.0
305,188.3691,-669132.4,1505000.0
306,188.5675,-669101.3,1510000.0
307,188.9317,-669083.9,1515000.0
308,189.9656,-669062.2,1520000.0
309,190.4972,-669030.1,1525000.0
350,192.1843,-668999.2,1725000.0
351,193.613,-668965.6,1730000.0
352,193.0844,-668969.3,1735000.0
353,192.0341,-668979.0,1740000.0
354,192.0341,-668979.0,1740000.0
355,193.3574,-668964.4,1745000.0
356,193.6645,-668947.1,1750000.0
357,194.0468,-668923.4,1755000.0
358,195.2851,-668897.8,1760000.0
359,196.0112,-668881.8,1765000.0
360,195.7513,-668871.2,1770000.0
361,197.0408,-668836.7,1775000.0
362,196.6716,-668848.4,1780000.0
363,198.0324,-668794.2,1785000.0
364,198.226,-668777.9,1790000.0
365,199.4491,-668739.4,1795000.0
366,200.2236,-668739.6,1800000.0
367,200.5671,-668708.8,1805000.0
368,200.5192,-668718.1,1810000.0
369,201.5662,-668669.9,1815000.0
370,202.1691,-668636.6,1820000.0
371,203.4452,-668618.8,1825000.0
372,203.5905,-668601.9,1830000.0
373,204.2611,-668577.5,1835000.0
374,205.4519,-668538.4,1840000.0
375,206.0071,-668521.6,1845000.0
376,206.6487,-668493.4,1850000.0
377,207.3648,-668473.5,1855000.0
378,207.5561,-668470.5,1860000.0
379,207.9214,-668438.6,1865000.0
380,208.4333,-668428.9,1870000.0
381,209.1736,-668396.6,1875000.0
382,209.6516,-668388.9,1880000.0
383,211.3182,-668346.7,1885000.0
384,211.13,-668331.1,1890000.0
385,212.3101,-668301.4,1895000.0
386,212.4856,-668275.3,1900000.0
387,212.6325,-668267.3,1905000.0
388,213.2744,-668258.8,1910000.0
389,214.1074,-668230.2,1915000.0
390,214.4664,-668205.6,1920000.0
391,215.4293,-668166.6,1925000.0
392,216.3099,-668151.8,1930000.0
393,216.8977,-668134.5,1935000.0
394,217.0709,-668105.6,1940000.0
395,217.6277,-668083.6,1945000.0
396,217.9519,-668076.3,1950000.0
397,219.5843,-668034.7,1955000.0
398,219.8926,-668026.9,1960000.0
399,220.9193,-667997.1,1965000.0
400,220.7225,-667993.6,1970000.0
401,221.9741,-667971.0,1975000.0
402,222.997,-667917.2,1980000.0
403,222.6706,-667923.7,1985000.0
404,223.9368,-667883.5,1990000.0
405,223.5897,-667879.0,1995000.0
406,225.1037,-667842.1,2000000.0
407,225.5865,-667812.7,2005000.0
408,225.315,-667809.7,2010000.0
409,227.3989,-667764.8,2015000.0
410,226.9434,-667770.7,2020000.0
411,228.1967,-667730.1,2025000.0
412,229.1093,-667721.9,2030000.0
413,228.8926,-667693.2,2035000.0
414,229.8353,-667665.1,2040000.0
415,230.6575,-667636.9,2045000.0
416,230.7091,-667624.7,2050000.0
417,230.6946,-667621.7,2055000.0
418,232.0019,-667585.5,2060000.0
419,232.8736,-667559.7,2065000.0
420,233.4659,-667521.6,2070000.0
421,234.84,-667514.4,2075000.0
422,235.4664,-667477.0,2080000.0
423,236.1421,-667454.1,2085000.0
424,236.659,-667432.8,2090000.0
425,236.1732,-667455.2,2095000.0
426,237.3521,-667393.6,2100000.0
467,239.3979,-667341.1,2300000.0
468,240.4478,-667319.2,2305000.0
469,240.2149,-667308.4,2310000.0
470,239.5408,-667345.4,2315000.0
471,239.9198,-667321.0,2320000.0
472,239.9198,-667321.0,2320000.0
473,240.1559,-667319.1,2325000.0
474,241.017,-667282.5,2330000.0
475,242.0275,-667257.4,2335000.0
476,241.4297,-667276.1,2340000.0
477,243.2891,-667215.0,2345000.0
478,243.4877,-667215.5,2350000.0
479,244.7577,-667163.0,2355000.0
480,245.8009,-667126.3,2360000.0
481,245.7659,-667106.3,2365000.0
482,245.2195,-667119.9,2370000.0
483,247.2537,-667067.9,2375000.0
484,247.8077,-667051.7,2380000.0
485,247.9959,-667024.3,2385000.0
486,249.1951,-667007.2,2390000.0
487,248.651,-667001.8,2395000.0
488,250.1933,-666972.5,2400000.0
489,250.7219,-666964.0,2405000.0
490,251.253,-666920.3,2410000.0
491,250.9655,-666931.3,2415000.0
492,252.5606,-666875.7,2420000.0
493,253.1631,-666851.1,2425000.0
494,253.2781,-666843.4,2430000.0
495,254.3538,-666822.2,2435000.0
496,255.3914,-666789.7,2440000.0
497,256.2144,-666759.0,2445000.0
498,256.024,-666766.8,2450000.0
499,256.9512,-666734.6,2455000.0
500,257.6618,-666695.7,2460000.0
501,258.0903,-666673.8,2465000.0
502,258.377,-666652.1,2470000.0
503,259.5179,-666635.4,2475000.0
504,260.1896,-666616.0,2480000.0
505,261.2453,-666587.8,2485000.0
506,260.8554,-666578.0,2490000.0
507,261.2431,-666570.9,2495000.0
508,263.1032,-666516.8,2500000.0
509,263.8935,-666472.3,2505000.0
510,263.4312,-666489.4,2510000.0
511,264.3516,-666475.1,2515000.0
512,265.2091,-666460.9,2520000.0
513,266.2718,-666408.8,2525000.0
514,265.6848,-666423.5,2530000.0
515,267.1259,-666375.6,2535000.0
516,267.2087,-666362.4,2540000.0
517,267.8359,-666341.7,2545000.0
518,268.5463,-666295.3,2550000.0
519,267.8086,-666330.0,2555000.0
520,269.6778,-666269.2,2560000.0
521,271.2844,-666230.3,2565000.0
522,271.6957,-666208.8,2570000.0
523,271.9374,-666184.7,2575000.0
524,272.3472,-666160.6,2580000.0
525,272.791,-666139.8,2585000.0
526,274.5737,-666083.3,2590000.0
527,275.074,-666090.6,2595000.0
528,274.8513,-666062.1,2600000.0
529,275.8356,-666056.1,2605000.0
530,275.6086,-666046.8,2610000.0
531,278.0558,-665997.7,2615000.0
532,277.8311,-665986.5,2620000.0
533,278.6715,-665959.8,2625000.0
534,279.6258,-665939.2,2630000.0
535,278.8895,-665935.0,2635000.0
536,279.0775,-665917.2,2640000.0
537,280.6182,-665897.5,2645000.0
538,281.1049,-665869.5,2650000.0
539,282.3358,-665818.0,2655000.0
540,282.9073,-665806.6,2660000.0
541,283.3545,-665791.0,2665000.0
542,283.0195,-665775.2,2670000.0
543,283.868,-665746.1,2675000.0
584,287.7349,-665644.2,2875000.0
585,287.2324,-665663.2,2880000.0
586,288.0822,-665633.7,2885000.0
587,288.0441,-665651.1,2890000.0
588,288.3729,-665636.2,2895000.0
589,287.6726,-665641.1,2900000.0
590,287.6726,-665641.1,2900000.0
591,288.497,-665639.7,2905000.0
592,287.5752,-665615.7,2910000.0
593,288.516,-665606.7,2915000.0
594,290.078,-665546.5,2920000.0
595,290.2497,-665530.8,2925000.0
596,289.8662,-665531.9,2930000.0
597,291.6244,-665488.8,2935000.0
598,292.5743,-665464.3,2940000.0
599,292.5378,-665446.7,2945000.0
600,293.2579,-665425.4,2950000.0
