,T1,1,T2,2,T3,3,T5,5,T7,7
56,237.12,-4.900813459327034,237.4796,-4.899634945366652,238.1913,-4.900328179551122,237.1421,-4.900868238421027,237.9247,-4.901123874454534
57,249.7837,-4.897763611819409,249.4493,-4.896749965042648,250.1193,-4.897348628428928,250.3322,-4.897871733031451,250.2271,-4.8982688322973065
58,262.3923,-4.8947287635618215,262.4939,-4.893648748526798,262.4504,-4.894321197007481,262.2678,-4.894778756706207,262.8614,-4.895132105378747
59,275.4814,-4.891521923903805,275.5178,-4.890656399192984,275.3558,-4.891384538653367,274.5162,-4.891782251316632,274.6434,-4.892181576861745
60,287.1582,-4.888545072746362,287.1878,-4.887712490761271,287.8521,-4.888322693266833,288.1065,-4.888418073534479,288.3043,-4.888911169039503
61,298.8595,-4.885697715114245,299.2896,-4.884899922095044,299.6922,-4.885288279301746,299.9252,-4.885608603632426,300.4031,-4.885903348706638
62,312.6881,-4.8825083745812705,312.518,-4.88167235972114,311.5312,-4.88226433915212,311.9469,-4.882594379091401,313.0521,-4.882752298834111
63,325.2701,-4.879195540222989,324.72,-4.878644553644554,324.1049,-4.879218952618454,326.0621,-4.879323719053009,324.9736,-4.879892482358895
64,338.7611,-4.876223188840558,336.0591,-4.875877429535966,337.7968,-4.875889775561097,337.4707,-4.87644731013437,336.9982,-4.876731883850392
65,349.9526,-4.873115844207789,350.4679,-4.87230378937696,350.0205,-4.8727760598503735,349.9396,-4.873330708273859,349.3269,-4.8737001919275835
66,362.0631,-4.870048497575121,363.2338,-4.869156628912727,362.315,-4.86974812967581,363.516,-4.86997489786878,362.186,-4.87042978410534
67,375.203,-4.866816159192041,374.8914,-4.8660519166616725,374.9141,-4.866662344139651,374.6152,-4.867243687552296,374.6748,-4.867450609680407
68,387.3505,-4.863720313984301,387.7573,-4.862858312858313,387.7129,-4.863675311720699,387.3326,-4.864104936752473,387.2266,-4.8640131007285605
69,400.4533,-4.86057597120144,399.9919,-4.85970515970516,400.0443,-4.8604109725685785,400.3532,-4.86094797460255,400.0788,-4.860761790178273
70,412.1656,-4.85768361581921,413.2658,-4.856433151555103,412.2611,-4.857126683291771,412.1547,-4.857743761382094,411.9004,-4.857773067117362
71,425.9413,-4.854254787260637,425.0735,-4.853717964083818,423.9454,-4.854336159600997,424.5462,-4.854603533986317,424.0207,-4.854741375194553
72,438.2168,-4.850956452177392,437.852,-4.850679171410879,438.1757,-4.851067331670823,437.9617,-4.851392429984742,436.9594,-4.8513134148786845
73,449.0545,-4.848215089245538,450.5765,-4.847080062323965,449.658,-4.847743142144639,449.3457,-4.848269429541763,451.0725,-4.848081201600351
74,462.7102,-4.844652767361632,462.8421,-4.843982341543318,461.8284,-4.844639900249377,461.1738,-4.845107053206674,461.4517,-4.845121124447373
75,475.1614,-4.841533923303834,475.1681,-4.840926070194363,475.306,-4.841392019950124,476.3388,-4.841670522222769,474.888,-4.841745681629379
76,487.6259,-4.83826408679566,486.8194,-4.837858812249056,486.6723,-4.838571571072319,487.3564,-4.838585913274597,487.5145,-4.8386328263007625
77,500.2951,-4.835050747462627,498.6403,-4.834522382693114,500.8446,-4.834697256857855,500.5924,-4.835265541172418,500.6048,-4.835405387340418
78,511.0288,-4.832149392530373,511.4713,-4.831593955374443,513.0089,-4.831636907730673,511.9593,-4.83243982871487,513.2726,-4.83212065656421
79,524.0347,-4.829027548622569,525.2105,-4.828192605021873,526.139,-4.82853216957606,523.3999,-4.829065314761038,525.3386,-4.829065093051458
80,538.0947,-4.825698215089246,536.5862,-4.825050937855816,537.2409,-4.825181047381546,537.4202,-4.8256184476054536,538.6925,-4.825665778643521
81,549.3494,-4.821971401429929,550.1722,-4.821773935798326,549.3096,-4.8221142144638405,550.206,-4.822456563469016,548.7899,-4.822863253984169
82,561.478,-4.819205039748012,560.9703,-4.8187760931663375,563.6441,-4.818406483790524,560.9106,-4.819670226903578,562.0211,-4.819530780028073
83,573.2959,-4.815914204289785,575.8784,-4.815391722099039,574.2082,-4.815789027431421,574.4973,-4.816067332775508,574.8184,-4.816322438339683
84,588.4655,-4.812726863656817,588.2969,-4.811776133117597,586.9563,-4.8124114713216954,587.998,-4.8128183294777775,588.3067,-4.812703505304268
85,599.4669,-4.809526023698815,600.7279,-4.808547571962206,603.0121,-4.808333167082295,601.6072,-4.809500418368853,599.7603,-4.809528583841798
86,614.5871,-4.80575171241438,612.8845,-4.805409899922095,612.4471,-4.805733167082295,611.5757,-4.806387754097554,611.6842,-4.806578055324797
87,624.3593,-4.803009849507524,624.1462,-4.8022832144783365,624.4964,-4.802541147132169,624.2706,-4.803142196190382,624.2612,-4.803197838188814
88,636.6161,-4.799881505924704,639.122,-4.7987600127844035,637.7036,-4.798992019950124,637.557,-4.799343899197716,636.9889,-4.799760329236968
89,649.7499,-4.796441677916104,651.112,-4.795708735342882,649.9688,-4.79606433915212,650.488,-4.796162819313875,649.9976,-4.796633150954386
90,663.9922,-4.792290885455727,661.8889,-4.792363316753561,663.2261,-4.792248379052369,663.8335,-4.792894128070089,663.4552,-4.792966474739083
91,676.9866,-4.789507024648768,676.0787,-4.789154231837159,672.8431,-4.789656359102244,674.5669,-4.78952404390412,675.2036,-4.789705615552818
92,687.7367,-4.785833708314584,688.1799,-4.785559117876191,687.2172,-4.785628428927681,688.7292,-4.786151990943544,685.5989,-4.786621406132134
93,700.3562,-4.782446377681116,701.6211,-4.78213629372166,700.1053,-4.782231920199501,701.5847,-4.782780430181622,701.5185,-4.782892663782978
94,711.9979,-4.779840507974601,712.3607,-4.779178901739877,711.8735,-4.778989526184539,711.3137,-4.779828714869321,714.9289,-4.779097080981982
95,729.0901,-4.774859257037148,724.2006,-4.775828489243123,723.9174,-4.775703740648379,724.7673,-4.775884234877196,722.1556,-4.776251587460731
96,737.1835,-4.772837358132093,739.2284,-4.772282814965742,738.0643,-4.771884788029925,736.8606,-4.772482157798887,735.5224,-4.773219895537922
97,748.5978,-4.7693645317734115,748.2604,-4.768529893529894,748.9231,-4.768798503740649,750.3893,-4.768705517546882,749.7009,-4.76878168953565
98,760.3058,-4.76583620818959,760.5041,-4.765026667465692,762.0503,-4.765020448877805,761.804,-4.765461436235665,763.2582,-4.765310282926084
99,775.3921,-4.761616919154043,773.4808,-4.761713209883942,775.6956,-4.760983541147132,776.2423,-4.761268888123246,774.3346,-4.761862747906461
100,789.9744,-4.757757112144393,787.7904,-4.757928826831265,784.6822,-4.758315710723192,783.5051,-4.758642023920855,786.6378,-4.758221375576499
101,800.9695,-4.754465776711164,799.2631,-4.754278280497792,802.682,-4.7531925187032416,801.3988,-4.7540306147561155,798.2491,-4.7548545265308855
102,813.2552,-4.750411479426029,811.3502,-4.749719841793013,814.0185,-4.750098753117207,811.0102,-4.750612295122312,812.8764,-4.750648352382862
103,825.3734,-4.746391180440978,827.676,-4.746192145582389,824.7613,-4.746605985037406,825.3805,-4.745253236206133,824.9762,-4.746196778290221
104,838.6929,-4.742349382530874,839.4061,-4.741584267194024,838.8095,-4.7416927680798,839.2272,-4.741487916523108,838.6627,-4.742034050435895
105,851.848,-4.737666116694165,850.7667,-4.737441321587663,849.772,-4.737356608478803,851.672,-4.7373623074272775,849.5834,-4.737843154105436
106,862.7086,-4.732361881905905,861.5596,-4.733115598969258,863.4919,-4.732460349127182,862.318,-4.732621450017227,863.4495,-4.732823436172143
107,875.5249,-4.727862606869657,872.7137,-4.728379377159865,874.6971,-4.728041396508728,876.8001,-4.72744893438992,875.8049,-4.728067260591824
108,886.406,-4.723305334733263,886.3088,-4.72309382553285,888.6285,-4.722784039900249,883.5682,-4.72399271545996,886.3885,-4.722695675422766
109,901.9548,-4.717377631118444,898.8969,-4.718125886418569,898.8089,-4.717493266832918,900.1697,-4.7176226805138555,902.4944,-4.717596703810861
110,911.2001,-4.712733363331834,913.5954,-4.712556181458621,913.8579,-4.712257356608479,916.1672,-4.711477088152779,909.3271,-4.712705415031463
111,923.5307,-4.707254637268137,925.5079,-4.7074439184195285,926.3888,-4.706897755610973,924.3182,-4.707354432248855,928.1655,-4.707099888280959
112,938.6349,-4.702428878556073,937.9497,-4.7030952238269315,939.6749,-4.70214114713217,940.9448,-4.701723679677118,939.4557,-4.701938373103403
113,953.1898,-4.697086645667717,948.4405,-4.697425640718324,949.9392,-4.697330174563591,948.7722,-4.69764925924103,948.2269,-4.697869221881654
114,961.867,-4.692713364331783,966.2625,-4.691915363256827,960.9211,-4.6933142144638405,961.384,-4.692908894029631,962.9013,-4.692132878818261
115,972.2232,-4.688754062296885,975.7543,-4.687719981622421,974.9915,-4.688133167082294,976.7025,-4.687260914505094,977.1311,-4.6880517918015405
116,985.8227,-4.6833833308334585,988.0178,-4.683288388166437,985.2334,-4.6833536159601,988.6632,-4.683204213220455,986.2021,-4.683897180287796
117,1000.035,-4.67859207039648,998.8481,-4.678960667985058,1000.423,-4.678874314214464,999.8535,-4.6783880494167445,999.7843,-4.678470690461868
118,1012.127,-4.674340782960852,1010.654,-4.673864884840495,1011.611,-4.674776558603491,1010.123,-4.674137914062116,1010.498,-4.674897590879143
119,1025.114,-4.668767561621919,1023.732,-4.6694367871197135,1024.982,-4.669191521197008,1025.972,-4.669414283604863,1025.743,-4.669272489424886
120,1034.693,-4.664800759962002,1037.245,-4.664766984279179,1038.545,-4.664905735660848,1037.406,-4.665239946842546,1037.352,-4.665009500892798
121,1048.032,-4.660338483075846,1049.584,-4.659878947683826,1048.706,-4.6601092269326685,1049.824,-4.659167199881872,1047.858,-4.6605636559817425
122,1066.055,-4.6554307284635765,1066.944,-4.654718243742634,1065.8,-4.6547665835411465,1061.549,-4.655694246197766,1059.722,-4.656081048822176
123,1077.406,-4.650395980200989,1078.332,-4.650605760971615,1075.095,-4.650786533665835,1074.713,-4.651014913619137,1073.659,-4.651477651417495
124,1087.491,-4.64651617419129,1084.126,-4.646913265815705,1088.611,-4.646218453865337,1085.736,-4.646970517300782,1087.829,-4.646514747868267
125,1099.611,-4.64222788860557,1096.543,-4.6416591758055175,1096.952,-4.642809975062344,1103.271,-4.641353546291284,1100.387,-4.642372549581292
126,1112.117,-4.6364456777161145,1113.202,-4.636911468009028,1112.923,-4.637088778054863,1114.48,-4.63714131023281,1111.251,-4.637555740162518
127,1124.687,-4.632870356482176,1124.596,-4.633231957012445,1127.804,-4.631697256857856,1125.852,-4.63277993798297,1122.894,-4.632774260696859
128,1138.145,-4.627593120343983,1143.319,-4.627935418789078,1132.41,-4.628567082294264,1135.85,-4.627580843628488,1137.829,-4.6283780686928875
129,1148.815,-4.623571821408929,1151.707,-4.624448672619404,1150.351,-4.62425187032419,1154.727,-4.6228759167199875,1152.862,-4.623243289696068
130,1161.614,-4.619271036448177,1161.669,-4.6190727312678534,1162.926,-4.618440399002494,1162.62,-4.618910272185854,1163.629,-4.619335032990537
131,1173.539,-4.614799260036998,1175.247,-4.615370747687821,1173.868,-4.6153461346633415,1177.885,-4.614750209184427,1177.382,-4.614540662866309
132,1187.91,-4.610037498125093,1190.809,-4.610076207027427,1185.538,-4.6108932668329174,1189.237,-4.610357336220899,1186.372,-4.609826501284291
133,1201.105,-4.605569221538923,1201.844,-4.605632628193604,1197.857,-4.605946134663341,1201.404,-4.605656839100261,1199.118,-4.60656373237083
