,T,Enth
216,320.1634,-664434.8
217,320.2811,-664403.8
218,322.3885,-664356.4
219,323.6295,-664322.9
220,326.6771,-664228.3
221,326.0655,-664209.0
222,327.948,-664175.6
223,329.9691,-664101.8
224,329.7615,-664102.6
225,331.0838,-664044.8
226,333.5986,-663967.4
227,333.5768,-663956.2
228,335.6214,-663885.6
229,336.8678,-663844.7
230,337.3423,-663825.5
231,338.0523,-663788.5
232,339.8484,-663717.0
233,340.7711,-663692.2
234,342.0183,-663628.5
235,344.0685,-663585.3
236,344.7507,-663542.0
237,345.5985,-663510.5
238,348.2847,-663433.8
239,347.8146,-663415.2
240,350.9808,-663360.7
241,352.6552,-663315.4
242,352.9924,-663261.1
243,353.664,-663232.9
244,354.5376,-663201.4
245,356.1352,-663149.2
246,357.4595,-663123.9
247,358.5509,-663067.0
248,360.1691,-663035.0
249,361.1375,-662962.4
250,361.8215,-662951.9
251,364.6811,-662868.3
252,365.2921,-662801.1
253,366.3771,-662756.3
254,366.5884,-662761.1
255,369.8559,-662644.4
256,370.7083,-662623.7
257,370.4422,-662624.9
258,371.6982,-662602.1
259,373.5817,-662484.2
260,374.3718,-662472.1
261,376.9717,-662390.6
262,377.3048,-662387.3
263,378.6786,-662321.6
264,380.739,-662291.5
265,381.5874,-662239.9
266,383.8864,-662185.1
267,383.6259,-662165.2
268,385.907,-662116.1
269,385.3334,-662064.6
270,387.492,-662032.1
271,387.9514,-661955.7
272,389.7827,-661963.8
273,391.1193,-661910.5
274,393.5553,-661818.3
275,393.8468,-661805.7
276,394.8396,-661751.5
277,396.5206,-661725.2
278,398.0588,-661673.9
279,399.1303,-661635.4
280,401.0093,-661547.6
281,400.1452,-661523.6
282,402.2754,-661443.3
283,403.6772,-661421.7
284,404.301,-661371.4
285,406.0187,-661352.6
286,407.5258,-661299.8
287,407.4926,-661265.4
288,410.4497,-661213.2
289,411.0676,-661178.7
290,411.9283,-661160.4
291,411.9444,-661140.2
292,414.9208,-661030.4
293,417.4934,-660939.8
294,417.7861,-660942.9
295,419.223,-660898.4
296,421.2556,-660810.6
297,420.9307,-660842.0
298,424.4304,-660765.6
299,423.5013,-660725.1
300,425.1129,-660675.2
301,423.788,-660661.7
302,428.0818,-660595.5
303,428.9071,-660530.2
304,430.7467,-660474.0
305,432.7424,-660426.1
306,432.8705,-660395.6
307,434.0914,-660366.1
308,437.4317,-660312.5
309,434.9954,-660290.4
310,438.017,-660239.6
311,440.308,-660155.7
312,437.86,-660150.4
313,441.2581,-660094.2
314,441.7818,-660029.1
315,443.8774,-659997.7
316,444.4681,-659963.1
317,446.7339,-659904.9
318,448.0483,-659865.7
319,446.6796,-659851.8
320,448.9304,-659820.7
321,449.8321,-659777.5
322,452.5217,-659671.1
323,454.788,-659632.7
324,454.4985,-659599.8
325,454.9669,-659558.5
326,458.181,-659471.5
327,458.8524,-659467.5
328,458.7156,-659443.0
329,460.0289,-659378.6
330,462.7738,-659310.1
331,463.8064,-659260.4
332,465.5504,-659221.9
333,466.9687,-659143.8
334,467.4259,-659118.2
335,467.8627,-659109.3
336,470.5351,-659027.9
337,471.4957,-658955.7
338,473.3204,-658958.1
339,472.2182,-658907.8
340,475.0662,-658859.6
341,476.8394,-658790.3
342,477.635,-658810.7
343,479.2938,-658727.3
344,478.7013,-658716.1
345,483.0559,-658610.3
346,483.4175,-658603.8
347,483.7167,-658552.3
348,486.5806,-658468.9
349,485.3739,-658467.5
350,485.9528,-658439.9
351,488.0279,-658359.8
352,491.3251,-658282.7
353,491.4008,-658266.1
354,492.0086,-658212.4
355,493.2588,-658161.2
356,495.1837,-658131.7
357,497.6709,-658115.8
358,497.4938,-658039.3
359,497.8974,-658014.8
360,498.3228,-657941.4
361,502.6481,-657869.4
362,502.0415,-657889.6
363,503.0543,-657839.1
364,505.8717,-657744.8
365,505.3552,-657725.0
366,505.8547,-657690.3
367,509.2294,-657598.5
368,508.6158,-657610.1
369,510.7344,-657552.5
370,514.1092,-657424.7
371,515.4759,-657413.1
372,514.5998,-657455.3
373,515.7688,-657377.9
374,517.2052,-657295.4
375,516.5702,-657302.7
376,521.0701,-657245.1
377,519.9165,-657257.2
378,522.2005,-657111.2
379,523.8577,-657104.2
380,526.315,-656985.2
381,526.0726,-656997.1
382,526.2552,-656922.4
383,528.0732,-656938.0
384,529.6144,-656849.0
385,531.241,-656824.7
386,529.7007,-656825.8
387,533.5418,-656731.9
388,535.2761,-656619.6
389,534.8193,-656653.0
390,537.6127,-656612.4
391,537.9391,-656564.6
392,540.5456,-656473.1
393,540.5788,-656457.9
394,541.4696,-656447.0
395,542.4175,-656394.6
396,545.59,-656322.2
397,545.2578,-656287.4
398,545.1181,-656236.7
399,549.1646,-656177.8
400,549.365,-656119.1
401,552.5724,-656001.9
402,552.8482,-656054.6
403,554.3495,-655961.2
404,555.0688,-655922.2
405,559.4861,-655823.8
406,557.5675,-655850.9
407,558.3023,-655775.2
408,561.4073,-655750.7
409,560.6261,-655725.9
410,563.9403,-655620.6
411,563.7874,-655613.9
412,562.5424,-655602.0
413,567.629,-655490.4
414,567.1704,-655494.5
415,567.9784,-655439.2
