,Temp,Enthalpy,Step
0,49.88361,-4.9561440887919925,0.0
1,50.68275,-4.955995441482509,5000.0
2,51.23257,-4.955812109800813,10000.0
3,51.97237,-4.955638687939748,15000.0
4,52.45466,-4.955480130809632,20000.0
5,53.06059,-4.955356258051729,25000.0
6,53.80163,-4.95513824199782,30000.0
7,54.55585,-4.954994549598652,35000.0
8,54.88988,-4.954842929342979,40000.0
9,55.33962,-4.9547002279258745,45000.0
10,56.1616,-4.954504013477356,50000.0
11,57.00358,-4.954338519472797,55000.0
12,57.4115,-4.954211673768705,60000.0
13,58.06282,-4.954085819046675,65000.0
14,58.58771,-4.9538856406699034,70000.0
15,59.3236,-4.953698345059954,75000.0
16,59.87347,-4.953557130115945,80000.0
17,60.41047,-4.953398572985829,85000.0
18,61.28179,-4.953241502328807,90000.0
19,61.81516,-4.953070557922901,95000.0
20,62.32934,-4.952892181151521,100000.0
21,63.20552,-4.952708849469825,105000.0
22,63.90447,-4.952549796848677,110000.0
23,64.38001,-4.952394708155783,115000.0
24,65.02199,-4.95225250222971,120000.0
25,65.59406,-4.952090476662373,125000.0
26,66.23862,-4.951919036765434,130000.0
27,66.85258,-4.951750074323654,135000.0
28,67.57315,-4.951615796254088,140000.0
29,68.20676,-4.951422059260727,145000.0
30,68.76471,-4.951248637399663,150000.0
31,69.54188,-4.951104945000496,155000.0
32,69.91678,-4.95097710831434,160000.0
33,70.6787,-4.9507972450698645,165000.0
34,71.47819,-4.950610940441978,170000.0
35,71.91048,-4.950459815677337,175000.0
36,72.60442,-4.950289862253493,180000.0
37,73.30867,-4.950158557130116,185000.0
38,73.67095,-4.950004459419285,190000.0
39,74.39145,-4.949853334654643,195000.0
40,75.31418,-4.9496501833316815,200000.0
41,75.73036,-4.949505499950451,205000.0
42,76.24235,-4.949366762461599,210000.0
43,76.93929,-4.949204736894262,215000.0
44,77.53175,-4.949070954315727,220000.0
45,77.94481,-4.948901000891883,225000.0
46,78.71619,-4.9487469031810525,230000.0
47,79.51047,-4.948543751858091,235000.0
48,79.90743,-4.948418392627094,240000.0
49,80.64316,-4.948220196214448,245000.0
50,81.30371,-4.948096818947577,250000.0
51,82.06223,-4.947904568427312,255000.0
52,82.68288,-4.947755425626796,260000.0
53,83.34448,-4.947595877514617,265000.0
54,83.61027,-4.947501238727579,270000.0
55,84.21852,-4.947349618471906,275000.0
56,84.95805,-4.9471752056287785,280000.0
57,85.56753,-4.947024080864137,285000.0
58,86.28271,-4.946854622931324,290000.0
59,86.81384,-4.946756515707066,295000.0
60,87.31622,-4.946621246655435,300000.0
61,88.21936,-4.946427509662075,305000.0
62,88.83154,-4.946287285700128,310000.0
63,89.36132,-4.946127242096918,315000.0
64,90.14875,-4.945937964522842,320000.0
65,90.71343,-4.94584828064612,325000.0
66,91.44355,-4.945606481022693,330000.0
67,91.73855,-4.945546526607868,335000.0
68,92.42121,-4.945394410861163,340000.0
69,93.2883,-4.94516004360321,345000.0
70,93.45192,-4.9451159449013975,350000.0
71,94.40674,-4.94493558616589,355000.0
72,94.92407,-4.944782974928153,360000.0
73,95.69604,-4.94458527400654,365000.0
74,96.20217,-4.944478743434743,370000.0
75,96.76574,-4.94431176295709,375000.0
76,97.53847,-4.944167575066891,380000.0
77,98.24118,-4.944054603111684,385000.0
78,98.76971,-4.94389059558022,390000.0
79,99.67597,-4.943733029432167,395000.0
80,100.038,-4.9436294718065605,400000.0
81,100.5299,-4.943456049945496,405000.0
82,101.0729,-4.943313348528392,410000.0
83,101.9286,-4.943185016351204,415000.0
84,103.0213,-4.942951144584283,420000.0
85,102.8606,-4.942941730254683,425000.0
86,103.8379,-4.942726191655931,430000.0
87,104.5683,-4.942580021801605,435000.0
88,104.8536,-4.9424878604697255,440000.0
89,105.6234,-4.942310474680408,445000.0
90,106.117,-4.942166286790209,450000.0
91,106.7096,-4.941978991180259,455000.0
92,107.2807,-4.941893271231791,460000.0
133,107.5739,-4.942375384005549,660000.0
134,107.5739,-4.942375384005549,660000.0
135,107.8285,-4.942327816866515,665000.0
136,108.4568,-4.942159845406798,670000.0
137,109.278,-4.9419294420770985,675000.0
138,109.867,-4.941821425032207,680000.0
139,110.59,-4.941657912991775,685000.0
140,111.1221,-4.941538995144188,690000.0
141,111.7406,-4.941369041720344,695000.0
142,112.4559,-4.941163412942226,700000.0
143,113.3736,-4.940984045188782,705000.0
144,113.7324,-4.94088494698246,710000.0
145,114.5605,-4.940742245565355,715000.0
146,115.0624,-4.940542067188583,720000.0
147,115.5633,-4.9404018432266374,725000.0
148,116.4773,-4.940208106233277,730000.0
149,116.7545,-4.9400639183430775,735000.0
150,117.4074,-4.9399930631255575,740000.0
151,118.2469,-4.939735903280151,745000.0
152,119.0887,-4.93959766128233,750000.0
153,119.1433,-4.939492121692598,755000.0
154,120.1415,-4.939422752948172,760000.0
155,120.6401,-4.939145277970469,765000.0
156,121.1454,-4.939109107125161,770000.0
157,121.9364,-4.93890892874839,775000.0
158,122.3683,-4.938730056485977,780000.0
159,123.1324,-4.938583391140621,785000.0
160,123.6543,-4.9384451491428,790000.0
161,124.4174,-4.938285105539589,795000.0
162,124.7041,-4.938156773362403,800000.0
163,125.5562,-4.93802695471212,805000.0
164,126.6925,-4.937731642057279,810000.0
165,126.9583,-4.937666732732137,815000.0
166,127.5568,-4.937495788326231,820000.0
167,128.3336,-4.937330294321673,825000.0
168,128.6318,-4.937214844911307,830000.0
169,129.1259,-4.937143989693786,835000.0
170,130.2237,-4.9368635417698945,840000.0
171,130.674,-4.93676692101873,845000.0
